test_condition,test_pair_pat,test_order_pat,test_conf_pat,n,TEST_IMG_RESP.corr_mean,TEST_IMG_RESP.corr_raw,TEST_IMG_RESP.corr_std,TEST_IMG_RESP.keys_raw,TEST_IMG_RESP.rt_mean,TEST_IMG_RESP.rt_raw,TEST_IMG_RESP.rt_std,order
1,2,1,1,1.0,0.0,0.0,0.0,'right',2.1781790256500244,2.1781790256500244,0.0,6.0
4,6,0,1,1.0,0.0,0.0,0.0,'left',3.2741503715515137,3.2741503715515137,0.0,7.0
2,2,2,1,1.0,0.0,0.0,0.0,'right',1.7127704620361328,1.7127704620361328,0.0,8.0
3,2,2,2,1.0,0.0,0.0,0.0,'right',2.7947962284088135,2.7947962284088135,0.0,9.0
4,2,1,2,1.0,0.0,0.0,0.0,'left',1.4627430438995361,1.4627430438995361,0.0,10.0
1,1,1,1,1.0,0.0,0.0,0.0,'left',1.5606837272644043,1.5606837272644043,0.0,11.0
3,4,0,1,1.0,0.0,0.0,0.0,'left',0.8424057364463806,0.8424057364463806,0.0,12.0
2,3,2,2,1.0,0.0,0.0,0.0,'right',1.2553071975708008,1.2553071975708008,0.0,13.0
4,2,2,1,1.0,0.0,0.0,0.0,'left',1.8647669553756714,1.8647669553756714,0.0,14.0
3,3,1,2,1.0,0.0,0.0,0.0,'left',0.8387289643287659,0.8387289643287659,0.0,15.0
1,1,2,2,1.0,0.0,0.0,0.0,'right',1.2825924158096313,1.2825924158096313,0.0,16.0
4,5,0,2,1.0,0.0,0.0,0.0,'left',1.055731177330017,1.055731177330017,0.0,17.0
2,2,1,1,1.0,0.0,0.0,0.0,'right',0.7851400971412659,0.7851400971412659,0.0,18.0
3,1,2,1,1.0,0.0,0.0,0.0,'left',0.8506906032562256,0.8506906032562256,0.0,19.0
4,3,1,2,1.0,0.0,0.0,0.0,'left',1.196687936782837,1.196687936782837,0.0,20.0
1,2,2,2,1.0,0.0,0.0,0.0,'left',2.2173376083374023,2.2173376083374023,0.0,21.0
3,6,0,2,1.0,0.0,0.0,0.0,'right',3.7777023315429688,3.7777023315429688,0.0,22.0
2,3,1,2,1.0,0.0,0.0,0.0,'left',0.7210841178894043,0.7210841178894043,0.0,23.0
4,1,2,1,1.0,0.0,0.0,0.0,'left',1.1198703050613403,1.1198703050613403,0.0,24.0
3,2,1,2,1.0,0.0,0.0,0.0,'right',0.6959656476974487,0.6959656476974487,0.0,25.0
1,3,2,1,1.0,0.0,0.0,0.0,'right',0.8932995200157166,0.8932995200157166,0.0,26.0
4,1,1,1,1.0,0.0,0.0,0.0,'right',0.9417699575424194,0.9417699575424194,0.0,27.0
2,1,1,1,1.0,0.0,0.0,0.0,'right',0.6531726121902466,0.6531726121902466,0.0,28.0
3,3,2,1,1.0,0.0,0.0,0.0,'right',0.6847551465034485,0.6847551465034485,0.0,29.0

extraInfo
participant,shiga
date,2023-06-28_16h16.45.417
expName,Pattern_2
psychopyVersion,2022.2.4
frameRate,None
﻿test_condition,test_pair_pat,test_order_pat,test_conf_pat,n,TEST_IMG_RESP.corr_mean,TEST_IMG_RESP.corr_raw,TEST_IMG_RESP.corr_std,TEST_IMG_RESP.keys_raw,TEST_IMG_RESP.rt_mean,TEST_IMG_RESP.rt_raw,TEST_IMG_RESP.rt_std,order
3,3,2,2,1.0,0.0,0.0,0.0,'right',0.7620694637298584,0.7620694637298584,0.0,0.0
1,1,1,2,1.0,0.0,0.0,0.0,'left',3.16768741607666,3.16768741607666,0.0,1.0
4,5,0,1,1.0,0.0,0.0,0.0,'left',1.1302682161331177,1.1302682161331177,0.0,2.0
2,2,2,1,1.0,0.0,0.0,0.0,'left',0.8372175097465515,0.8372175097465515,0.0,3.0
3,1,1,1,1.0,0.0,0.0,0.0,'right',1.2699754238128662,1.2699754238128662,0.0,4.0
4,3,2,2,1.0,0.0,0.0,0.0,'right',1.4008126258850098,1.4008126258850098,0.0,5.0
1,2,1,2,1.0,0.0,0.0,0.0,'right',0.8078626394271851,0.8078626394271851,0.0,6.0
3,6,0,1,1.0,0.0,0.0,0.0,'right',0.6832274198532104,0.6832274198532104,0.0,7.0
2,3,2,1,1.0,0.0,0.0,0.0,'right',0.6863501071929932,0.6863501071929932,0.0,8.0
4,1,1,2,1.0,0.0,0.0,0.0,'right',0.6984158158302307,0.6984158158302307,0.0,9.0
3,2,2,1,1.0,0.0,0.0,0.0,'left',1.5640312433242798,1.5640312433242798,0.0,10.0
1,3,1,2,1.0,0.0,0.0,0.0,'left',0.8124383091926575,0.8124383091926575,0.0,11.0
4,1,2,2,1.0,0.0,0.0,0.0,'left',1.0381968021392822,1.0381968021392822,0.0,12.0
2,1,2,2,1.0,0.0,0.0,0.0,'left',0.5926041603088379,0.5926041603088379,0.0,13.0
3,3,1,1,1.0,0.0,0.0,0.0,'left',1.013752818107605,1.013752818107605,0.0,14.0
4,4,0,1,1.0,0.0,0.0,0.0,'right',2.331721544265747,2.331721544265747,0.0,15.0
1,3,2,2,1.0,0.0,0.0,0.0,'right',2.016871690750122,2.016871690750122,0.0,16.0
3,5,0,2,1.0,0.0,0.0,0.0,'right',1.4382630586624146,1.4382630586624146,0.0,17.0
2,1,1,2,1.0,0.0,0.0,0.0,'right',0.5183583498001099,0.5183583498001099,0.0,18.0
4,3,1,2,1.0,0.0,0.0,0.0,'left',0.6847174763679504,0.6847174763679504,0.0,19.0
3,1,2,1,1.0,0.0,0.0,0.0,'left',0.612508237361908,0.612508237361908,0.0,20.0
1,2,2,2,1.0,0.0,0.0,0.0,'left',0.9122921228408813,0.9122921228408813,0.0,21.0
4,6,0,1,1.0,0.0,0.0,0.0,'left',0.6307535171508789,0.6307535171508789,0.0,22.0
2,2,1,1,1.0,0.0,0.0,0.0,'right',0.6554180979728699,0.6554180979728699,0.0,23.0
3,2,1,1,1.0,0.0,0.0,0.0,'right',0.7714843153953552,0.7714843153953552,0.0,24.0
4,2,2,1,1.0,0.0,0.0,0.0,'left',0.6234740018844604,0.6234740018844604,0.0,25.0
1,1,2,1,1.0,0.0,0.0,0.0,'right',1.2705857753753662,1.2705857753753662,0.0,26.0
3,4,0,2,1.0,0.0,0.0,0.0,'left',0.5928583145141602,0.5928583145141602,0.0,27.0
2,3,1,2,1.0,0.0,0.0,0.0,'left',0.5733124613761902,0.5733124613761902,0.0,28.0
4,2,1,1,1.0,0.0,0.0,0.0,'left',1.4567232131958008,1.4567232131958008,0.0,29.0

extraInfo
participant,shiga
date,2023-06-28_16h16.45.417
expName,Pattern_2
psychopyVersion,2022.2.4
frameRate,None
